2025-07-01 03:28:04,757 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 03:28:04,757 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 03:28:04,757 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 03:28:04,757 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 03:28:04,757 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 03:28:04,757 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 03:28:04,757 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 03:28:04,761 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 03:28:04,761 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 03:28:04,761 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 03:28:04,761 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:31:47,088 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:31:47,153 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:31:47,562 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 03:31:47,563 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 03:31:47,563 | YOLOv8 | INFO | Criterion is ready
2025-07-01 03:31:47,563 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 03:31:47,563 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 03:31:47,563 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 03:31:47,563 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 03:31:47,563 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 03:31:47,563 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 03:31:47,563 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 03:31:47,563 | YOLOv8 | INFO |    ✂️  Drop last: False
2025-07-01 03:31:47,566 | YOLOv8 | INFO | ✅ DataLoader'ы созданы успешно!
2025-07-01 03:31:47,566 | YOLOv8 | INFO |    📊 Train: 87 батчей (1385 изображений)
2025-07-01 03:31:47,566 | YOLOv8 | INFO |    📊 Val: 25 батчей (396 изображений)
2025-07-01 03:31:47,566 | YOLOv8 | INFO | === Эпоха 1/100 ===
2025-07-01 03:36:03,714 | YOLOv8 | INFO | Device is cpu
2025-07-01 03:36:03,782 | YOLOv8 | INFO | Начинаем настройку тренировки...
2025-07-01 03:36:04,187 | YOLOv8 | INFO | Optimizer is ready
2025-07-01 03:36:04,187 | YOLOv8 | INFO | Scheduler is ready
2025-07-01 03:36:04,188 | YOLOv8 | INFO | Criterion is ready
2025-07-01 03:36:04,188 | YOLOv8 | INFO | Настройка тренировки завершена
2025-07-01 03:36:04,188 | YOLOv8 | INFO | 🔧 Создание DataLoader'ов...
2025-07-01 03:36:04,188 | YOLOv8 | INFO | 📂 Загрузка val датасета...
2025-07-01 03:36:04,188 | YOLOv8 | INFO |    📊 Batch size: 16
2025-07-01 03:36:04,188 | YOLOv8 | INFO |    🖼️  Image size: 640
2025-07-01 03:36:04,188 | YOLOv8 | INFO |    👥 Workers: 4
2025-07-01 03:36:04,188 | YOLOv8 | INFO |    🔀 Shuffle: True
2025-07-01 03:36:04,188 | YOLOv8 | INFO |    ✂️  Drop last: False
